english	french	source	domain	notes
Protected B Medium Medium	Protégé B Intégrité moyenne Disponibilité moyenne	CCCS ITSG-33 Annex 4A	PBMM	PBMM profile — basis for GC cloud security assessment
security categorization process	processus de catégorisation de la sécurité	TBS Standard on Security Categorization J.2.2	classification	Examine CIA separately; assign impact levels
aggregation	regroupement	TBS Standard on Security Categorization J.2.2.4	classification	Group of assets may have higher category than individual items
safeguard	mesure de protection	TBS Standard on Security Categorization J.2.2.5	risk management	Cost-benefit consideration in categorization
data residency	résidence des données	GC Cloud Security (implicit)	cloud security	Where data is physically stored
Government of Canada	Gouvernement du Canada	All sources	general	GC — Gouvernement du Canada (GdC)
Crown corporation	société d'État	ATIA Schedule I	governance	Included in access to information regime
department	ministère	ATIA; Privacy Act; OLA	governance	Core federal institution
agency	organisme	ATIA; Privacy Act	governance	Non-departmental federal body
proactive disclosure	divulgation proactive	ATIA Part 2	transparency	Mandatory publication without request
access request	demande d'accès	ATIA s.6	access rights	Written request to institution head
30-day response period	délai de réponse de 30 jours	ATIA s.7	access rights	Standard response timeline
complaint	plainte	ATIA s.30; Privacy Act s.29	oversight	Filed with Commissioner
investigation	enquête	ATIA s.32; Privacy Act s.31	oversight	Commissioner-led investigation
order	ordonnance	ATIA s.36.1	enforcement	Commissioner order — binding
Federal Court	Cour fédérale	ATIA s.41; Privacy Act s.41	judicial review	Review of access/privacy decisions
official language minority community	communauté de langue officielle en situation minoritaire	OLA Part VII	official languages	Advancement obligations
positive measures	mesures positives	OLA Part VII (s.41+)	official languages	Concrete steps to advance OLA Part VII
French-speaking Canadians	Canadiens d'expression française	OLA s.39+	official languages	Participation in federal institutions
English-speaking Canadians	Canadiens d'expression anglaise	OLA s.39+	official languages	Participation in federal institutions
bilingual district	district bilingue	OLA Part IV	official languages	Geographic trigger for bilingual services
significant demand	demande importante	OLA Part IV	official languages	Trigger for bilingual service delivery
