
# --- Starting Block: "Basic Latin","Standard ASCII." (0x0000 to 0x007F) ---
0x00000020   Symbol:    Name: SPACE
0x000000D8   Symbol: Ø  Name: LATIN CAPITAL LETTER O WITH STROKE
0x000000D9   Symbol: Ù  Name: LATIN CAPITAL LETTER U WITH GRAVE
0x000000DA   Symbol: Ú  Name: LATIN CAPITAL LETTER U WITH ACUTE
0x000000DB   Symbol: Û  Name: LATIN CAPITAL LETTER U WITH CIRCUMFLEX
0x000000DC   Symbol: Ü  Name: LATIN CAPITAL LETTER U WITH DIAERESIS
0x000000DD   Symbol: Ý  Name: LATIN CAPITAL LETTER Y WITH ACUTE
0x000000DE   Symbol: Þ  Name: LATIN CAPITAL LETTER THORN
0x000000DF   Symbol: ß  Name: LATIN SMALL LETTER SHARP S
0x000000E0   Symbol: à  Name: LATIN SMALL LETTER A WITH GRAVE
0x000000E1   Symbol: á  Name: LATIN SMALL LETTER A WITH ACUTE
0x000000E2   Symbol: â  Name: LATIN SMALL LETTER A WITH CIRCUMFLEX
0x000000E3   Symbol: ã  Name: LATIN SMALL LETTER A WITH TILDE
0x000000E4   Symbol: ä  Name: LATIN SMALL LETTER A WITH DIAERESIS
0x000000E5   Symbol: å  Name: LATIN SMALL LETTER A WITH RING ABOVE
0x000000E6   Symbol: æ  Name: LATIN SMALL LETTER AE
0x000000E7   Symbol: ç  Name: LATIN SMALL LETTER C WITH CEDILLA
0x000000E8   Symbol: è  Name: LATIN SMALL LETTER E WITH GRAVE
0x000000E9   Symbol: é  Name: LATIN SMALL LETTER E WITH ACUTE
0x000000EA   Symbol: ê  Name: LATIN SMALL LETTER E WITH CIRCUMFLEX
0x000000EB   Symbol: ë  Name: LATIN SMALL LETTER E WITH DIAERESIS
0x000000EC   Symbol: ì  Name: LATIN SMALL LETTER I WITH GRAVE
0x000000ED   Symbol: í  Name: LATIN SMALL LETTER I WITH ACUTE
0x000000EE   Symbol: î  Name: LATIN SMALL LETTER I WITH CIRCUMFLEX
0x000000EF   Symbol: ï  Name: LATIN SMALL LETTER I WITH DIAERESIS
0x000000F0   Symbol: ð  Name: LATIN SMALL LETTER ETH
0x000000F1   Symbol: ñ  Name: LATIN SMALL LETTER N WITH TILDE
0x000000F2   Symbol: ò  Name: LATIN SMALL LETTER O WITH GRAVE
0x000000F3   Symbol: ó  Name: LATIN SMALL LETTER O WITH ACUTE
0x000000F4   Symbol: ô  Name: LATIN SMALL LETTER O WITH CIRCUMFLEX
0x000000F5   Symbol: õ  Name: LATIN SMALL LETTER O WITH TILDE
0x000000F6   Symbol: ö  Name: LATIN SMALL LETTER O WITH DIAERESIS
0x000000F7   Symbol: ÷  Name: DIVISION SIGN
0x000000F8   Symbol: ø  Name: LATIN SMALL LETTER O WITH STROKE
0x000000F9   Symbol: ù  Name: LATIN SMALL LETTER U WITH GRAVE
0x000000FA   Symbol: ú  Name: LATIN SMALL LETTER U WITH ACUTE
0x000000FB   Symbol: û  Name: LATIN SMALL LETTER U WITH CIRCUMFLEX
0x000000FC   Symbol: ü  Name: LATIN SMALL LETTER U WITH DIAERESIS
0x000000FD   Symbol: ý  Name: LATIN SMALL LETTER Y WITH ACUTE
0x000000FE   Symbol: þ  Name: LATIN SMALL LETTER THORN
0x000000FF   Symbol: ÿ  Name: LATIN SMALL LETTER Y WITH DIAERESIS

# --- Starting Block: "Latin Extended-A" (0x0100 to 0x017F) ---
0x00000100   Symbol: Ā  Name: LATIN CAPITAL LETTER A WITH MACRON
0x00000101   Symbol: ā  Name: LATIN SMALL LETTER A WITH MACRON
0x00000102   Symbol: Ă  Name: LATIN CAPITAL LETTER A WITH BREVE
0x00000103   Symbol: ă  Name: LATIN SMALL LETTER A WITH BREVE
0x00000104   Symbol: Ą  Name: LATIN CAPITAL LETTER A WITH OGONEK
0x00000105   Symbol: ą  Name: LATIN SMALL LETTER A WITH OGONEK
0x00000106   Symbol: Ć  Name: LATIN CAPITAL LETTER C WITH ACUTE
0x00000107   Symbol: ć  Name: LATIN SMALL LETTER C WITH ACUTE
0x00000108   Symbol: Ĉ  Name: LATIN CAPITAL LETTER C WITH CIRCUMFLEX
0x00000109   Symbol: ĉ  Name: LATIN SMALL LETTER C WITH CIRCUMFLEX
0x0000010A   Symbol: Ċ  Name: LATIN CAPITAL LETTER C WITH DOT ABOVE
0x0000010B   Symbol: ċ  Name: LATIN SMALL LETTER C WITH DOT ABOVE
0x0000010C   Symbol: Č  Name: LATIN CAPITAL LETTER C WITH CARON
0x0000010D   Symbol: č  Name: LATIN SMALL LETTER C WITH CARON
0x0000010E   Symbol: Ď  Name: LATIN CAPITAL LETTER D WITH CARON
0x0000010F   Symbol: ď  Name: LATIN SMALL LETTER D WITH CARON
0x00000110   Symbol: Đ  Name: LATIN CAPITAL LETTER D WITH STROKE
0x00000111   Symbol: đ  Name: LATIN SMALL LETTER D WITH STROKE
0x00000112   Symbol: Ē  Name: LATIN CAPITAL LETTER E WITH MACRON
0x00000113   Symbol: ē  Name: LATIN SMALL LETTER E WITH MACRON
0x00000114   Symbol: Ĕ  Name: LATIN CAPITAL LETTER E WITH BREVE
0x00000115   Symbol: ĕ  Name: LATIN SMALL LETTER E WITH BREVE
0x00000116   Symbol: Ė  Name: LATIN CAPITAL LETTER E WITH DOT ABOVE
0x00000117   Symbol: ė  Name: LATIN SMALL LETTER E WITH DOT ABOVE
0x00000118   Symbol: Ę  Name: LATIN CAPITAL LETTER E WITH OGONEK
0x00000119   Symbol: ę  Name: LATIN SMALL LETTER E WITH OGONEK
0x0000011A   Symbol: Ě  Name: LATIN CAPITAL LETTER E WITH CARON
0x0000011B   Symbol: ě  Name: LATIN SMALL LETTER E WITH CARON
0x0000011C   Symbol: Ĝ  Name: LATIN CAPITAL LETTER G WITH CIRCUMFLEX
0x0000011D   Symbol: ĝ  Name: LATIN SMALL LETTER G WITH CIRCUMFLEX
0x0000011E   Symbol: Ğ  Name: LATIN CAPITAL LETTER G WITH BREVE
0x0000011F   Symbol: ğ  Name: LATIN SMALL LETTER G WITH BREVE
0x00000120   Symbol: Ġ  Name: LATIN CAPITAL LETTER G WITH DOT ABOVE
0x00000121   Symbol: ġ  Name: LATIN SMALL LETTER G WITH DOT ABOVE
0x00000122   Symbol: Ģ  Name: LATIN CAPITAL LETTER G WITH CEDILLA
0x00000123   Symbol: ģ  Name: LATIN SMALL LETTER G WITH CEDILLA
0x00000124   Symbol: Ĥ  Name: LATIN CAPITAL LETTER H WITH CIRCUMFLEX
0x00000125   Symbol: ĥ  Name: LATIN SMALL LETTER H WITH CIRCUMFLEX
0x00000126   Symbol: Ħ  Name: LATIN CAPITAL LETTER H WITH STROKE
0x00000127   Symbol: ħ  Name: LATIN SMALL LETTER H WITH STROKE
0x00000128   Symbol: Ĩ  Name: LATIN CAPITAL LETTER I WITH TILDE
0x00000129   Symbol: ĩ  Name: LATIN SMALL LETTER I WITH TILDE
0x0000012A   Symbol: Ī  Name: LATIN CAPITAL LETTER I WITH MACRON
0x0000012B   Symbol: ī  Name: LATIN SMALL LETTER I WITH MACRON
0x0000012C   Symbol: Ĭ  Name: LATIN CAPITAL LETTER I WITH BREVE
0x0000012D   Symbol: ĭ  Name: LATIN SMALL LETTER I WITH BREVE
0x0000012E   Symbol: Į  Name: LATIN CAPITAL LETTER I WITH OGONEK
0x0000012F   Symbol: į  Name: LATIN SMALL LETTER I WITH OGONEK
0x00000130   Symbol: İ  Name: LATIN CAPITAL LETTER I WITH DOT ABOVE
0x00000131   Symbol: ı  Name: LATIN SMALL LETTER DOTLESS I
0x00000132   Symbol: Ĳ  Name: LATIN CAPITAL LIGATURE IJ
0x00000133   Symbol: ĳ  Name: LATIN SMALL LIGATURE IJ
0x00000134   Symbol: Ĵ  Name: LATIN CAPITAL LETTER J WITH CIRCUMFLEX
0x00000135   Symbol: ĵ  Name: LATIN SMALL LETTER J WITH CIRCUMFLEX
0x00000136   Symbol: Ķ  Name: LATIN CAPITAL LETTER K WITH CEDILLA
0x00000137   Symbol: ķ  Name: LATIN SMALL LETTER K WITH CEDILLA
0x00000138   Symbol: ĸ  Name: LATIN SMALL LETTER KRA
0x00000139   Symbol: Ĺ  Name: LATIN CAPITAL LETTER L WITH ACUTE
0x0000013A   Symbol: ĺ  Name: LATIN SMALL LETTER L WITH ACUTE
0x0000013B   Symbol: Ļ  Name: LATIN CAPITAL LETTER L WITH CEDILLA
0x0000013C   Symbol: ļ  Name: LATIN SMALL LETTER L WITH CEDILLA
0x0000013D   Symbol: Ľ  Name: LATIN CAPITAL LETTER L WITH CARON
0x0000013E   Symbol: ľ  Name: LATIN SMALL LETTER L WITH CARON
0x0000013F   Symbol: Ŀ  Name: LATIN CAPITAL LETTER L WITH MIDDLE DOT
0x00000140   Symbol: ŀ  Name: LATIN SMALL LETTER L WITH MIDDLE DOT
0x00000141   Symbol: Ł  Name: LATIN CAPITAL LETTER L WITH STROKE
0x00000142   Symbol: ł  Name: LATIN SMALL LETTER L WITH STROKE
0x00000143   Symbol: Ń  Name: LATIN CAPITAL LETTER N WITH ACUTE
0x00000144   Symbol: ń  Name: LATIN SMALL LETTER N WITH ACUTE
0x00000145   Symbol: Ņ  Name: LATIN CAPITAL LETTER N WITH CEDILLA
0x00000146   Symbol: ņ  Name: LATIN SMALL LETTER N WITH CEDILLA
0x00000147   Symbol: Ň  Name: LATIN CAPITAL LETTER N WITH CARON
0x00000148   Symbol: ň  Name: LATIN SMALL LETTER N WITH CARON
0x00000149   Symbol: ŉ  Name: LATIN SMALL LETTER N PRECEDED BY APOSTROPHE
0x0000014A   Symbol: Ŋ  Name: LATIN CAPITAL LETTER ENG
0x0000014B   Symbol: ŋ  Name: LATIN SMALL LETTER ENG
0x0000014C   Symbol: Ō  Name: LATIN CAPITAL LETTER O WITH MACRON
0x0000014D   Symbol: ō  Name: LATIN SMALL LETTER O WITH MACRON
0x0000014E   Symbol: Ŏ  Name: LATIN CAPITAL LETTER O WITH BREVE
0x0000014F   Symbol: ŏ  Name: LATIN SMALL LETTER O WITH BREVE
0x00000150   Symbol: Ő  Name: LATIN CAPITAL LETTER O WITH DOUBLE ACUTE
0x00000151   Symbol: ő  Name: LATIN SMALL LETTER O WITH DOUBLE ACUTE
0x00000152   Symbol: Œ  Name: LATIN CAPITAL LIGATURE OE
0x00000153   Symbol: œ  Name: LATIN SMALL LIGATURE OE
0x00000154   Symbol: Ŕ  Name: LATIN CAPITAL LETTER R WITH ACUTE
0x00000155   Symbol: ŕ  Name: LATIN SMALL LETTER R WITH ACUTE
0x00000156   Symbol: Ŗ  Name: LATIN CAPITAL LETTER R WITH CEDILLA
0x00000157   Symbol: ŗ  Name: LATIN SMALL LETTER R WITH CEDILLA
0x00000158   Symbol: Ř  Name: LATIN CAPITAL LETTER R WITH CARON
0x00000159   Symbol: ř  Name: LATIN SMALL LETTER R WITH CARON
0x0000015A   Symbol: Ś  Name: LATIN CAPITAL LETTER S WITH ACUTE
0x0000015B   Symbol: ś  Name: LATIN SMALL LETTER S WITH ACUTE
0x0000015C   Symbol: Ŝ  Name: LATIN CAPITAL LETTER S WITH CIRCUMFLEX
0x0000015D   Symbol: ŝ  Name: LATIN SMALL LETTER S WITH CIRCUMFLEX
0x0000015E   Symbol: Ş  Name: LATIN CAPITAL LETTER S WITH CEDILLA
0x0000015F   Symbol: ş  Name: LATIN SMALL LETTER S WITH CEDILLA
0x00000160   Symbol: Š  Name: LATIN CAPITAL LETTER S WITH CARON
0x00000161   Symbol: š  Name: LATIN SMALL LETTER S WITH CARON
0x00000162   Symbol: Ţ  Name: LATIN CAPITAL LETTER T WITH CEDILLA
0x00000163   Symbol: ţ  Name: LATIN SMALL LETTER T WITH CEDILLA
0x00000164   Symbol: Ť  Name: LATIN CAPITAL LETTER T WITH CARON
0x00000165   Symbol: ť  Name: LATIN SMALL LETTER T WITH CARON
0x00000166   Symbol: Ŧ  Name: LATIN CAPITAL LETTER T WITH STROKE
0x00000167   Symbol: ŧ  Name: LATIN SMALL LETTER T WITH STROKE
0x00000168   Symbol: Ũ  Name: LATIN CAPITAL LETTER U WITH TILDE
0x00000169   Symbol: ũ  Name: LATIN SMALL LETTER U WITH TILDE
0x0000016A   Symbol: Ū  Name: LATIN CAPITAL LETTER U WITH MACRON
0x0000016B   Symbol: ū  Name: LATIN SMALL LETTER U WITH MACRON
0x0000016C   Symbol: Ŭ  Name: LATIN CAPITAL LETTER U WITH BREVE
0x0000016D   Symbol: ŭ  Name: LATIN SMALL LETTER U WITH BREVE
0x0000016E   Symbol: Ů  Name: LATIN CAPITAL LETTER U WITH RING ABOVE
0x0000016F   Symbol: ů  Name: LATIN SMALL LETTER U WITH RING ABOVE
0x00000170   Symbol: Ű  Name: LATIN CAPITAL LETTER U WITH DOUBLE ACUTE
0x00000171   Symbol: ű  Name: LATIN SMALL LETTER U WITH DOUBLE ACUTE
0x00000172   Symbol: Ų  Name: LATIN CAPITAL LETTER U WITH OGONEK
0x00000173   Symbol: ų  Name: LATIN SMALL LETTER U WITH OGONEK
0x00000174   Symbol: Ŵ  Name: LATIN CAPITAL LETTER W WITH CIRCUMFLEX
0x00000175   Symbol: ŵ  Name: LATIN SMALL LETTER W WITH CIRCUMFLEX
0x00000176   Symbol: Ŷ  Name: LATIN CAPITAL LETTER Y WITH CIRCUMFLEX
0x00000177   Symbol: ŷ  Name: LATIN SMALL LETTER Y WITH CIRCUMFLEX
0x00000178   Symbol: Ÿ  Name: LATIN CAPITAL LETTER Y WITH DIAERESIS
0x00000179   Symbol: Ź  Name: LATIN CAPITAL LETTER Z WITH ACUTE
0x0000017A   Symbol: ź  Name: LATIN SMALL LETTER Z WITH ACUTE
0x0000017B   Symbol: Ż  Name: LATIN CAPITAL LETTER Z WITH DOT ABOVE
0x0000017C   Symbol: ż  Name: LATIN SMALL LETTER Z WITH DOT ABOVE
0x0000017D   Symbol: Ž  Name: LATIN CAPITAL LETTER Z WITH CARON
0x0000017E   Symbol: ž  Name: LATIN SMALL LETTER Z WITH CARON
0x0000017F   Symbol: ſ  Name: LATIN SMALL LETTER LONG S

# --- Starting Block: "Latin Extended-B" (0x0180 to 0x024F) ---
0x00000180   Symbol: ƀ  Name: LATIN SMALL LETTER B WITH STROKE
0x00000181   Symbol: Ɓ  Name: LATIN CAPITAL LETTER B WITH HOOK
0x00000182   Symbol: Ƃ  Name: LATIN CAPITAL LETTER B WITH TOPBAR
0x00000183   Symbol: ƃ  Name: LATIN SMALL LETTER B WITH TOPBAR
0x00000184   Symbol: Ƅ  Name: LATIN CAPITAL LETTER TONE SIX
0x00000185   Symbol: ƅ  Name: LATIN SMALL LETTER TONE SIX
0x00000186   Symbol: Ɔ  Name: LATIN CAPITAL LETTER OPEN O
0x00000187   Symbol: Ƈ  Name: LATIN CAPITAL LETTER C WITH HOOK
0x00000188   Symbol: ƈ  Name: LATIN SMALL LETTER C WITH HOOK
0x00000189   Symbol: Ɖ  Name: LATIN CAPITAL LETTER AFRICAN D
0x0000018A   Symbol: Ɗ  Name: LATIN CAPITAL LETTER D WITH HOOK
0x0000018B   Symbol: Ƌ  Name: LATIN CAPITAL LETTER D WITH TOPBAR
0x0000018C   Symbol: ƌ  Name: LATIN SMALL LETTER D WITH TOPBAR
0x0000018D   Symbol: ƍ  Name: LATIN SMALL LETTER TURNED DELTA
0x0000018E   Symbol: Ǝ  Name: LATIN CAPITAL LETTER REVERSED E
0x0000018F   Symbol: Ə  Name: LATIN CAPITAL LETTER SCHWA
0x00000190   Symbol: Ɛ  Name: LATIN CAPITAL LETTER OPEN E
0x00000191   Symbol: Ƒ  Name: LATIN CAPITAL LETTER F WITH HOOK
0x00000192   Symbol: ƒ  Name: LATIN SMALL LETTER F WITH HOOK
0x00000193   Symbol: Ɠ  Name: LATIN CAPITAL LETTER G WITH HOOK
0x00000194   Symbol: Ɣ  Name: LATIN CAPITAL LETTER GAMMA
0x00000195   Symbol: ƕ  Name: LATIN SMALL LETTER HV
0x00000196   Symbol: Ɩ  Name: LATIN CAPITAL LETTER IOTA
0x00000197   Symbol: Ɨ  Name: LATIN CAPITAL LETTER I WITH STROKE
0x00000198   Symbol: Ƙ  Name: LATIN CAPITAL LETTER K WITH HOOK
0x00000199   Symbol: ƙ  Name: LATIN SMALL LETTER K WITH HOOK
0x0000019A   Symbol: ƚ  Name: LATIN SMALL LETTER L WITH BAR
0x0000019B   Symbol: ƛ  Name: LATIN SMALL LETTER LAMBDA WITH STROKE
0x0000019C   Symbol: Ɯ  Name: LATIN CAPITAL LETTER TURNED M
0x0000019D   Symbol: Ɲ  Name: LATIN CAPITAL LETTER N WITH LEFT HOOK
0x0000019E   Symbol: ƞ  Name: LATIN SMALL LETTER N WITH LONG RIGHT LEG
0x0000019F   Symbol: Ɵ  Name: LATIN CAPITAL LETTER O WITH MIDDLE TILDE
0x000001A0   Symbol: Ơ  Name: LATIN CAPITAL LETTER O WITH HORN
0x000001A1   Symbol: ơ  Name: LATIN SMALL LETTER O WITH HORN
0x000001A2   Symbol: Ƣ  Name: LATIN CAPITAL LETTER OI
0x000001A3   Symbol: ƣ  Name: LATIN SMALL LETTER OI
0x000001A4   Symbol: Ƥ  Name: LATIN CAPITAL LETTER P WITH HOOK
0x000001A5   Symbol: ƥ  Name: LATIN SMALL LETTER P WITH HOOK
0x000001A6   Symbol: Ʀ  Name: LATIN LETTER YR
0x000001A7   Symbol: Ƨ  Name: LATIN CAPITAL LETTER TONE TWO
0x000001A8   Symbol: ƨ  Name: LATIN SMALL LETTER TONE TWO
0x000001A9   Symbol: Ʃ  Name: LATIN CAPITAL LETTER ESH
0x000001AA   Symbol: ƪ  Name: LATIN LETTER REVERSED ESH LOOP
0x000001AB   Symbol: ƫ  Name: LATIN SMALL LETTER T WITH PALATAL HOOK
0x000001AC   Symbol: Ƭ  Name: LATIN CAPITAL LETTER T WITH HOOK
0x000001AD   Symbol: ƭ  Name: LATIN SMALL LETTER T WITH HOOK
0x000001AE   Symbol: Ʈ  Name: LATIN CAPITAL LETTER T WITH RETROFLEX HOOK
